id,titulo,isbn,autor_id,genero_id,anio_publicacion,editorial,ejemplares_totales,ubicacion,notas,portada_url,descripcion,paginas,idioma,saga,resena,puntuacion,creado_en
19,Non-Stop Spideman: Jugada Cerebral,9786075787251,17,,,Panini Comics,1,,,https://i1.whakoom.com/large/1e/2f/578308e4c61e40dc93b08935aa30f692.jpg,,,,,,,2026-07-14 23:24:57.763634
20,Renegados,9789877473834,5,1,,V&R Ediciones,1,A1,,http://books.google.com/books/content?id=smeWuAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Los Renegados son un sindicato de prodigios, humanos con habilidades extraordinarias, quienes surgieron de las ruinas de una sociedad destrozada y establecieron paz y orden donde reinaba el caos.
Como campeones de la justicia, ellos son un símbolo de esperanza y coraje para todos... excepto para los villanos que alguna vez derrocaron.
Nova tiene una razón para odiar a los Renegados, y tiene como misión la venganza. A medida que se acerca a su objetivo, conoce a Adrian, un Renegado que cree en la justicia... y en Nova. Pero la lealtad de ella pertenece a un villano que tiene el poder de destruirlos a ambos.",580,Español,Renegados,Muy bueno,5.0,2026-07-14 23:24:58.299109
21,Supernova,9789877476149,5,1,,V&R Ediciones,1,A1,,https://vreditoras.com.ar//uploads/libros/7a8189ac326ec17d2af180faf02d6b2eSupernova-TAPA-BAJA.jpg,"Adrian y Nova deben luchar por mantener sus identidades en secreto. Mientras la batalla entre sus alter egos y sus aliados continúa, una amenaza aún mayor se eleva sobre Gatlon City:
El peor enemigo de los Renegados ha regresado y amenaza con recuperar la ciudad. Nova y Adrian enfrentarán mentiras y traiciones para proteger a quienes aman. Pero cuando su mayor miedo se convierta en realidad, deberán cerrar la grieta entre héroes y villanos o lo perderán todo.
Incluso el uno al otro.",547,Español,Renegados,Muy bueno,5.0,2026-07-14 23:24:58.834678
22,Anita Garbo 1. Misión: Salvar la bahía,9788424661786,22,,,Desconocido,1,,,https://images.cdn1.buscalibre.com/fit-in/360x360/64/12/6412f80c9b873f59e39cd8cd19745901.jpg,,,,,,,2026-07-14 23:24:59.192218
23,Los Cinco En El Cerro del Contrabandista,9788426142955,23,,,Juventud,1,,,http://books.google.com/books/content?id=tUyTjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,,2026-07-14 23:24:59.54968
24,Los Cinco y El Tesoro de La Isla,9788426142924,23,,,Juventud,1,,,http://books.google.com/books/content?id=bQ6IjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,,2026-07-14 23:24:59.90662
25,"Geronimo Stilton 01: Mi Nombre Es Stilton, Geronimo Stilton",9789507320491,25,,,Destino,1,,,http://books.google.com/books/content?id=BUQ7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,,2026-07-14 23:25:00.263581
26,Otra Aventura de los Cinco,9788426142931,23,,,Juventud,1,,,http://books.google.com/books/content?id=x0ubjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,,,2026-07-14 23:25:00.620601
27,Hocus Pocus Hotel 01: A través de la ventana indiscreta,9789871208692,27,,,Latinbooks,1,,,https://latinbooksint.com/img/tapitas_lb/1448462942-Arte_HPH_1%20copy.png,,,,,,,2026-07-14 23:25:00.977641
28,Hocus Pocus Hotel 03: El Asistente Desaparece!,9789871208708,27,,,Latinbooks,1,,,https://http2.mlstatic.com/D_NQ_NP_737647-MLA43474186619_092020-O.webp,,,,,,,2026-07-14 23:25:01.33474
29,Hocus Pocus Hotel 05: El mago y el agujero de gusano,9789871208920,27,,,Latinbooks,1,,,https://entelequia.com.ar/storage/product_arch/2020/08/slayers_special_tapa_03-DESKTOP-EAEOSF4-8.webp,,,,,,,2026-07-14 23:25:01.692213
